Movie_id,Popularity
13648,4.7174
1078600,4.3822
316727,4.8538
39108,4.0498
1282138,4.4958
13492,4.443
872170,3.6418
614930,4.3496
340601,3.8408
612,4.6984
215,4.4568
171106,3.6182
360778,3.4673
449574,4.007
45595,3.8255
386813,4.0689
458969,3.6552
768135,2.6326
9348,4.3157
1213,6.7749
1103857,4.1711
212778,3.4631
760741,5.2483
967998,3.8063
122750,3.6621
2141,3.5598
7508,4.5525
9833,4.6192
35292,3.7782
635910,4.9849
254323,3.683
639848,4.3263
124880,4.0353
1096642,4.2738
26598,4.0511
1235610,3.8646
884,5.4493
796185,6.1774
639144,4.1787
141703,3.5468
429422,4.1118
37786,4.3776
11918,4.302
1406543,3.4582
30239,3.8808
461372,3.9421
77931,4.6477
1096342,4.1596
380020,3.645
365620,4.9798
1025463,3.6089
3432,3.9927
4547,4.9881
589978,3.7963
21871,4.2146
791042,3.5903
274,5.0881
441168,4.1618
11910,3.3216
20382,3.9939
13474,3.3308
1417059,4.0854
11430,4.6163
800510,3.8437
1314452,3.5071
984,4.7486
8584,4.7791
412588,3.7619
1107325,3.8667
89492,3.8495
10323,4.3154
1812,3.7184
45411,3.5713
10725,3.4575
174678,3.6353
4550,4.2073
526558,2.9511
82315,3.9053
840,4.764
11621,4.6811
8367,4.9088
55504,3.6842
14834,4.4253
1103,3.9376
1177908,5.613
297270,3.8809
168760,3.3412
1325234,5.6733
10970,3.5552
73582,4.3716
49671,3.7951
10657,4.5456
321487,3.1514
42390,3.8159
852696,3.744
372056,3.9653
668306,3.3839
10858,4.2979
241843,4.3816
16516,3.5589
1297028,4.578
426207,4.4067
363157,3.3945
204922,3.4238
1630155,3.3818
40807,3.7164
34989,4.0002
1094138,4.8077
1315657,4.555
925615,4.3587
452253,3.9224
456740,5.4525
454622,3.5711
773543,8.8441
3133,4.1593
858017,4.7562
1921,5.3463
24832,3.9647
429197,4.5618
94204,3.8895
542178,3.9018
885110,3.7928
511574,3.7321
37178,3.7128
522931,3.6932
253000,3.8702
1263421,4.3868
380109,3.5
68730,4.9573
50348,4.9426
11344,4.1565
1255775,3.932
6309,3.9764
691,4.6876
798141,3.4204
1055077,3.3509
447665,4.7303
9481,5.3061
319,5.249
655587,3.6791
345938,5.6494
227213,3.941
82775,3.3813
49730,4.7033
21610,4.488
9798,5.148
216440,3.3831
86467,4.5483
89591,3.5787
23437,4.6025
8374,4.189
1214454,3.9457
56474,3.4971
41779,3.8214
1152619,3.2004
623318,3.9737
1078769,5.2819
41317,4.177
1070254,3.7445
1392796,3.9061
140441,3.3376
518490,3.8146
110420,4.2008
718032,4.6243
68929,3.7189
73797,3.1796
1212705,3.1899
262822,3.4343
437033,3.731
401371,3.5511
612,4.6984
209379,3.7076
36797,3.8538
926,3.7372
1238188,4.3729
9616,3.6633
390845,3.8543
1189885,3.5107
1623,3.9519
1008409,5.006
334543,4.7255
50758,3.5746
1282138,4.4958
444000,3.7482
9100,4.6658
454764,3.9241
1082195,4.9782
9341,4.2931
244,2.9597
23398,4.2842
283235,4.2872
1181540,3.9532
284318,3.1977
94329,5.3377
338967,3.8009
16308,3.7125
1237601,4.0424
108322,3.5744
1056360,4.0683
138796,3.9114
10159,3.1242
11335,4.0528
49133,4.0503
14069,3.4033
655,4.5617
975273,3.9173
645788,5.1351
20481,4.091
872906,4.8146
392,3.6461
86194,4.0946
664236,4.1217
5851,4.0669
11397,4.0517
470893,3.3025
1325678,4.1855
132229,3.4607
663993,3.933
158916,4.1273
373494,3.5817
11092,3.9982
10947,3.9357
10019,3.6714
939575,3.8313
34626,4.0046
22244,4.354
1601195,3.2942
458969,3.6552
1022690,3.5622
693158,3.7074
233651,3.433
9517,4.37
1116490,3.9051
212334,3.2015
1126357,5.4059
935484,3.2571
11000,4.5946
1244944,3.1107
991610,3.9249
934452,3.2387
680829,3.9
220289,5.0286
15654,3.9812
62543,3.2656
391423,4.1803
1256604,3.6874
294993,4.2319
3175,3.9771
38167,4.7094
535167,3.8579
258509,4.033
675319,3.9403
368031,3.8696
322332,3.4495
529286,3.5088
49958,4.4619
16366,4.003
89899,4.2491
421298,4.0552
11305,3.6422
82023,3.8367
337556,4.6704
257527,3.5256
66608,4.321
9461,4.54
365045,4.9247
55179,3.3432
17097,3.5517
744857,3.4587
365923,3.4486
575923,4.1434
11046,3.8639
10418,4.3194
1158127,3.6492
305344,3.1355
20676,4.3333
10665,3.9579
279661,3.1805
4771,3.985
8487,4.6285
46342,3.7414
1417059,4.0854
1301844,4.2314
14597,4.5216
1243341,3.8142
90590,3.6817
227,5.3973
9973,4.1685
1436835,3.7295
374970,3.0323
49020,3.7188
136244,3.7663
42489,3.749
1239251,3.5189
9911,3.7038
634528,5.0473
12828,3.4412
253460,3.5595
1423983,3.1462
1423191,3.392
1059643,3.8119
168,3.0567
14306,3.8609
46143,3.4497
361540,3.5354
713466,3.5872
479093,3.6579
987257,4.5741
271116,4.0273
1144911,4.0749
249836,3.5808
